"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.381181250E0,6.062393188E-2,1.322050781E0,9.675878906E0
7.401292250E0,8.068222046E-2,1.379830627E0,9.612111511E0
7.421403250E0,1.002914429E-2,1.355131989E0,9.685159607E0
7.441513250E0,3.667373657E-2,1.324296112E0,9.708960114E0
7.461624250E0,5.837860107E-2,1.323697357E0,9.767787781E0
7.481735250E0,-1.242416382E-2,1.352587280E0,9.668095093E0
7.501845250E0,3.293151855E-3,1.373992767E0,9.814939728E0
7.521956250E0,9.445358276E-2,1.353186035E0,9.801318054E0
7.542067250E0,9.759704590E-2,1.339264984E0,9.737550659E0
7.562178250E0,1.363664246E-1,1.385369110E0,9.697134705E0
7.582288250E0,7.723937988E-2,1.393751678E0,9.670490112E0
7.602399250E0,5.598358154E-2,1.379830627E0,9.748927002E0
7.622510250E0,4.221221924E-2,1.339714050E0,9.779313812E0
7.642620250E0,-8.831634521E-3,1.356928253E0,9.727671204E0
7.662731250E0,4.715194702E-2,1.367107086E0,9.783355408E0
7.682842250E0,2.110610962E-2,1.400637360E0,9.713151398E0
7.702952250E0,2.933898926E-2,1.363813934E0,9.629924469E0
7.723063250E0,4.161346436E-2,1.360371094E0,9.677525482E0
7.743174250E0,7.379653931E-2,1.370250549E0,9.671537933E0
7.763285250E0,6.571334839E-2,1.400188293E0,9.611512756E0
7.783395250E0,6.825805664E-2,1.401236115E0,9.643097076E0
7.803506250E0,8.906478882E-2,1.407672729E0,9.704469452E0
7.823617250E0,1.067280579E-1,1.388213196E0,9.664652252E0
7.843727250E0,1.181044006E-1,1.344354401E0,9.686656494E0
7.863838250E0,4.326004028E-2,1.367406464E0,9.667496338E0
7.883949250E0,7.589218140E-2,1.337768097E0,9.778116302E0
7.904059250E0,1.115180969E-1,1.352886658E0,9.844129028E0
7.924170250E0,1.341210938E-1,1.367556152E0,9.784852295E0
7.944281250E0,1.152603149E-1,1.366508331E0,9.760303345E0
7.964391250E0,8.173004150E-2,1.370699615E0,9.712702332E0
7.984502250E0,6.541397095E-2,1.386716309E0,9.646240540E0
8.004613250E0,7.259902954E-2,1.350192261E0,9.646839294E0
8.024724250E0,9.744735718E-2,1.393003235E0,9.637408905E0
8.044834250E0,6.137237549E-2,1.394500122E0,9.600735168E0
8.064945250E0,9.295669556E-2,1.431922302E0,9.671987000E0
8.085056250E0,3.173400879E-2,1.406924286E0,9.772428131E0
8.105166250E0,2.634521484E-2,1.364712067E0,9.809101868E0
8.125277250E0,3.727249146E-2,1.376088409E0,9.730215912E0
8.145388250E0,6.735992432E-3,1.394350433E0,9.599238281E0
8.165498250E0,6.750961304E-2,1.412163391E0,9.717492371E0
8.185609250E0,1.200503540E-1,1.360071716E0,9.731563110E0
8.205720250E0,1.342707825E-1,1.349892883E0,9.737999725E0
8.225831250E0,1.332229614E-1,1.359323273E0,9.714648285E0
8.245941250E0,8.756790161E-2,1.398541718E0,9.688752136E0
8.266052250E0,2.260299683E-2,1.387464752E0,9.705217896E0
8.286163250E0,4.445755005E-2,1.365610199E0,9.724677429E0
8.306273250E0,2.859054565E-2,1.324595490E0,9.661359100E0
8.326384250E0,3.173400879E-2,1.327589264E0,9.705517273E0
8.346495125E0,6.691085815E-2,1.338516541E0,9.818981323E0
